"dcterms:identifier";"aorum:gildingGenericTerm";"aorum:gildingSpecificTerm";"aorum:gildingTechnique";"dcterms:spatial";"aorum:harmonise";"aorum:incertitude";"aorum:spatialharmonise";"aorum:spatialincertitude"
"Por1520AnoMNAA01";"Attribut religieux";"Nimbe";"Mixtion (?)";"Portugal";"Mixtion";1;"Portugal";0
"Por1520AnoMNAA01";"Lumière";;"Mixtion (?)";"Portugal";"Mixtion";1;"Portugal";0
"Por1515MdLouMNAA";"Attribut religieux";"Nimbe";"Mixtion (?)";"Portugal";"Mixtion";1;"Portugal";0
"Por1523GLopMNAA01";"Attribut religieux";"Nimbe";"Mixtion (?)";"Portugal";"Mixtion";1;"Portugal";0
"Por1523GLopMNAA01";"Inscription";"Chrysographie";"Mixtion (?)";"Portugal";"Mixtion";1;"Portugal";0
"Por1523GLopMNAA02";"Attribut religieux";"Nimbe";"Mixtion (?)";"Portugal";"Mixtion";1;"Portugal";0
"Por1523GLopMNAA02";"Lumière (?)";;"Mixtion (?)";"Portugal";"Mixtion";1;"Portugal";0
"Por1523GLopMNAA03";"Attribut religieux";"Nimbe";"Mixtion (?)";"Portugal";"Mixtion";1;"Portugal";0
"Por1523GLopMNAA04";"Attribut religieux";"Nimbe";"Mixtion (?)";"Portugal";"Mixtion";1;"Portugal";0
"Por1523GLopMNAA05";"Attribut religieux";"Nimbe";"Mixtion (?)";"Portugal";"Mixtion";1;"Portugal";0
"Por1523GLopMNAA06";"Attribut religieux";"Nimbe";"Mixtion (?)";"Portugal";"Mixtion";1;"Portugal";0
"Por1523GLopMNAA07";"Lumière";;"Mixtion (?)";"Portugal";"Mixtion";1;"Portugal";0
"Por1523GLopMNAA07";"Attribut religieux";"Nimbe";"Mixtion (?)";"Portugal";"Mixtion";1;"Portugal";0
"Por1523GLopMNAA08";"Attribut religieux";"Nimbe";"Mixtion (?)";"Portugal";"Mixtion";1;"Portugal";0
"Por1523GLopMNAA09";"Attribut religieux";"Nimbe";"Mixtion (?)";"Portugal";"Mixtion";1;"Portugal";0
"Por1523GLopMNAA09";"Inscription";"Chrysographie";"Mixtion (?)";"Portugal";"Mixtion";1;"Portugal";0
"Por1529FCarloMNAA";"Attribut religieux";"Nimbe";"Mixtion (?)";"Portugal";"Mixtion";1;"Portugal";0
"Por1520FCarloMNAA01";"Attribut religieux";"Nimbe";"Mixtion (?)";"Portugal";"Mixtion";1;"Portugal";0
"Por1520FCarloMNAA02";"Attribut religieux";"Nimbe";"Mixtion (?)";"Portugal";"Mixtion";1;"Portugal";0
"Por1520FCarloMNAA03";"Attribut religieux";"Nimbe";"Mixtion (?)";"Portugal";"Mixtion";1;"Portugal";0
"Por1520FCarloMNAA04";"Attribut religieux";"Nimbe";"Mixtion (?)";"Portugal";"Mixtion";1;"Portugal";0
"Por1525VFernaMNAA";"Attribut religieux";"Nimbe";"Mixtion (?)";"Portugal";"Mixtion";1;"Portugal";0
"Por1520VGilMNAA";"Attribut religieux";"Nimbe";"Mixtion (?)";"Portugal";"Mixtion";1;"Portugal";0
"Por1520VGilMNAA";"Être humain";"Cheveux";"Mixtion (?)";"Portugal";"Mixtion";1;"Portugal";0
"Por1520VGilMNAA";"Lumière";;"Mixtion (?)";"Portugal";"Mixtion";1;"Portugal";0
"Por1521FigueMNAA";"Attribut religieux";"Nimbe";"Mixtion (?)";"Portugal";"Mixtion";1;"Portugal";0
"PBa1500AnoMNAA01";"Lumière";;"Mixtion (?)";"Pays-Bas (XVIᵉ s)";"Mixtion";1;"Pays-Bas (XVIᵉ s)";0
"PBa1500AnoMNAA02";"Attribut religieux";"Nimbe";"Mixtion (?)";"Pays-Bas (XVIᵉ s)";"Mixtion";1;"Pays-Bas (XVIᵉ s)";0
"PBa1500AnoMNAA03";"Attribut religieux";"Nimbe";"Mixtion (?)";"Pays-Bas (XVIᵉ s)";"Mixtion";1;"Pays-Bas (XVIᵉ s)";0
"Ita1500AnoMNAA01";"Attribut religieux";"Nimbe";"Mixtion (?)";"Péninsule italienne";"Mixtion";1;"Péninsule italienne";0
"Ita1500AnoMNAA01";"Vêtement";;"Mixtion (?)";"Péninsule italienne";"Mixtion";1;"Péninsule italienne";0
"Ita1510CsSMNAA";"Attribut religieux";"Nimbe";"Mixtion (?)";"Péninsule italienne";"Mixtion";1;"Péninsule italienne";0
"Ita1510CsSMNAA";"Vêtement";;"Mixtion (?)";"Péninsule italienne";"Mixtion";1;"Péninsule italienne";0
"Ita1515LMaMNAA";"Attribut religieux";"Nimbe";"Mixtion (?)";"Péninsule italienne";"Mixtion";1;"Péninsule italienne";0
"Ita1500AnoMNAA02";"Vêtement";;"Mixtion (?)";"Péninsule italienne";"Mixtion";1;"Péninsule italienne";0
"Ita1500AnoMNAA02";"Attribut religieux";"Attribut d'un saint";"Mixtion (?)";"Péninsule italienne";"Mixtion";1;"Péninsule italienne";0
"Ita1500AnoMNAA02";"Attribut religieux";"Nimbe";"Mixtion (?)";"Péninsule italienne";"Mixtion";1;"Péninsule italienne";0
"Ita1500AnoMNAA02";"Attribut";"Regalia";"Mixtion (?)";"Péninsule italienne";"Mixtion";1;"Péninsule italienne";0
"PBa1510QMetMNAA";"Cadre";;"Mixtion (?)";"Pays-Bas (XVIᵉ s)";"Mixtion";1;"Pays-Bas (XVIᵉ s)";0
"PBa1510QMetMNAA";"Attribut religieux";"Nimbe";"Mixtion (?)";"Pays-Bas (XVIᵉ s)";"Mixtion";1;"Pays-Bas (XVIᵉ s)";0
"PBa1520AnoMNAA01";"Lumière";;"Mixtion (?)";"Pays-Bas (XVIᵉ s)";"Mixtion";1;"Pays-Bas (XVIᵉ s)";0
"PBa1550AnoMNAA01";"Attribut religieux";"Nimbe";"Mixtion (?)";"Pays-Bas (XVIᵉ s)";"Mixtion";1;"Pays-Bas (XVIᵉ s)";0
"Ita1602AlloMNAA";"Attribut religieux";"Nimbe";"Mixtion (?)";"Péninsule italienne";"Mixtion";1;"Péninsule italienne";0
"SEm1490MGrossPraCSA";"Fond d'or";;"Mixtion (?)";"Pays germaniques";"Mixtion";1;"Pays germaniques";0
"SEm1480AnoPraCSA";"Cadre";"Écoinçon";"Mixtion (?)";"Pays germaniques";"Mixtion";1;"Pays germaniques";0
"SEm1480AnoPraCSA";"Attribut religieux";"Nimbe";"Mixtion (?)";"Pays germaniques";"Mixtion";1;"Pays germaniques";0
"SEm1480AnoPraCSA";"Attribut";"Regalia";"Mixtion (?)";"Pays germaniques";"Mixtion";1;"Pays germaniques";0
"SEm1480AnoPraCSA";"Objet";"Orfèvrerie";"Mixtion (?)";"Pays germaniques";"Mixtion";1;"Pays germaniques";0
