"dcterms:identifier";"dcterms:spatial";"aorum:cityOfCreation";"spatial:harmonise";"spatial:incertain";"cityOfCreation:harmonise";"cityOfCreation:incertain"
"Ita1500AnoPraCh";"Péninsule italienne";;"Péninsule italienne";0;"Ville inconnue (Péninsule italienne)";0
"Ita1575VeroPraCh";"Péninsule italienne";"Venise";"Péninsule italienne";0;"Venise";0
"Ang1540HHJPraCh";"Angleterre";"Londres";"Angleterre";0;"Londres";0
"SEm1520MOstenPraCh";"Pays germaniques";;"Pays germaniques";0;"Ville inconnue (Pays germaniques)";0
"Por1470GonNuMNAA01";"Portugal";"Lisbonne";"Portugal";0;"Lisbonne";0
"Por1470GonNuMNAA02";"Portugal";"Lisbonne";"Portugal";0;"Lisbonne";0
"Por1537VazMNAA";"Portugal";"Viseu";"Portugal";0;"Viseu";0
"Por1520FigueMNAA01";"Portugal";;"Portugal";0;"Ville inconnue (Portugal)";0
"Por1500AnoMNAA01";"Portugal";;"Portugal";0;"Ville inconnue (Portugal)";0
"Por1540AnoMNAA01";"Portugal";;"Portugal";0;"Ville inconnue (Portugal)";0
"Por1515JAfoMNAA08";"Portugal";;"Portugal";0;"Ville inconnue (Portugal)";0
"Por1550AnoMNAA01";"Portugal";;"Portugal";0;"Ville inconnue (Portugal)";0
"Por1550AnoMNAA02";"Portugal";;"Portugal";0;"Ville inconnue (Portugal)";0
"Ita1520GranASH01";"Péninsule italienne";;"Péninsule italienne";0;"Ville inconnue (Péninsule italienne)";0
"Ita1520GranASH02";"Péninsule italienne";;"Péninsule italienne";0;"Ville inconnue (Péninsule italienne)";0
"SEm1490AnoASH";"Pays germaniques";;"Pays germaniques";0;"Ville inconnue (Pays germaniques)";0
"PBa1520AnoASH";"Pays-Bas (XVIᵉ s)";;"Pays-Bas (XVIᵉ s)";0;"Ville inconnue (Pays-Bas)";0
"PBa1500AnoASH";"Pays-Bas (XVIᵉ s)";;"Pays-Bas (XVIᵉ s)";0;"Ville inconnue (Pays-Bas)";0
"Ita1555VenuASH";"Péninsule italienne";;"Péninsule italienne";0;"Ville inconnue (Péninsule italienne)";0
"SEm1514HSchASH";"Pays germaniques";;"Pays germaniques";0;"Ville inconnue (Pays germaniques)";0
"Ita1441SellCCO";"Péninsule italienne";;"Péninsule italienne";0;"Ville inconnue (Péninsule italienne)";0
"Ita1466RGarbCCO";"Péninsule italienne";;"Péninsule italienne";0;"Ville inconnue (Péninsule italienne)";0
"Ita1480LMaCCO";"Péninsule italienne";;"Péninsule italienne";0;"Ville inconnue (Péninsule italienne)";0
"Por1519AnoMNAA01";"Portugal";"Lisbonne";"Portugal";0;"Lisbonne";0
"Por1549Md1MNAA";"Portugal";;"Portugal";0;"Ville inconnue (Portugal)";0
"Por1520AnoMNAA02";"Portugal";;"Portugal";0;"Ville inconnue (Portugal)";0
"Por1519AnoMNAA02";"Portugal";"Lisbonne";"Portugal";0;"Lisbonne";0
"Por1535GLopMNAA";"Portugal";;"Portugal";0;"Ville inconnue (Portugal)";0
"Por1500AnoMNAA02";"Portugal";;"Portugal";0;"Ville inconnue (Portugal)";0
"Por1530AnoMNAA01";"Portugal";;"Portugal";0;"Ville inconnue (Portugal)";0
"Por1540AnoMNAA02";"Portugal";;"Portugal";0;"Ville inconnue (Portugal)";0
"Por1508FHenrMNAA07";"Portugal";;"Portugal";0;"Ville inconnue (Portugal)";0
"Por1608DLPMNAA";"Portugal";;"Portugal";0;"Ville inconnue (Portugal)";0
