lambda_nm;Rnorm_eprouvette_2_detrempe_pt1_bruni_non-verni_tot;DR_eprouvette_2_detrempe_pt1_bruni_non-verni_tot;Rnorm_eprouvette_2_detrempe_pt2_bruni_verni_tot;DR_eprouvette_2_detrempe_pt2_bruni_verni_tot;Rnorm_eprouvette_2_detrempe_pt3_non-bruni_non-verni_tot;DR_eprouvette_2_detrempe_pt3_non-bruni_non-verni_tot;Rnorm_eprouvette_2_detrempe_pt4_non-bruni_verni_tot;DR_eprouvette_2_detrempe_pt4_non-bruni_verni_tot;Rnorm_eprouvette_3_detrempe_pt1_bruni_non-verni_tot;DR_eprouvette_3_detrempe_pt1_bruni_non-verni_tot;Rnorm_eprouvette_3_detrempe_pt2_bruni_verni_tot;DR_eprouvette_3_detrempe_pt2_bruni_verni_tot;Rnorm_eprouvette_5_mixtion_pt1_tot;DR_eprouvette_5_mixtion_pt1_tot;Rnorm_eprouvette_6_coquille_pt1_liant_verni_tot;DR_eprouvette_6_coquille_pt1_liant_verni_tot;Rnorm_eprouvette_6_coquille_pt2_liant_eau_tot;DR_eprouvette_6_coquille_pt2_liant_eau_tot
404,5;14,9357;0,0209038;11,6244;0,0191315;2,16186;0,00125223;2,15108;0,00133697;6,17654;0,00710051;3,997;0,0043416;4,70737;0,00550158;1,36298;0,00257992;0,701768;0,00222284
404,6;14,9413;0,0213081;11,629;0,0195265;2,16223;0,00129278;2,15134;0,00138275;6,17833;0,0072573;3,99804;0,00443062;4,70877;0,0056126;1,36329;0,00264863;0,702083;0,00224781
404,7;14,947;0,0217282;11,6337;0,0199362;2,16262;0,00133344;2,15163;0,00143225;6,18016;0,00741996;3,99909;0,00452277;4,71019;0,00572833;1,36361;0,00272117;0,702407;0,0022742
404,8;14,9528;0,0221631;11,6384;0,0203595;2,16302;0,0013739;2,15195;0,00148527;6,18203;0,00758806;4,00012;0,00461789;4,71161;0,0058485;1,36394;0,00279718;0,702741;0,002302
404,9;14,9586;0,0226114;11,643;0,0207954;2,16344;0,00141385;2,15232;0,00154161;6,1839;0,00776116;4,00114;0,00471583;4,71301;0,0059729;1,36428;0,00287628;0,703086;0,00233125
405;14,9643;0,0230719;11,6476;0,0212427;2,16386;0,00145295;2,15273;0,00160109;6,18576;0,00793882;4,00211;0,00481645;4,71437;0,00610127;1,36463;0,00295811;0,703443;0,00236194
405,1;14,9699;0,0235368;11,6519;0,021695;2,16429;0,00149222;2,15318;0,0016637;6,18759;0,00811935;4,00303;0,00491993;4,71567;0,00623213;1,36498;0,003039;0,703811;0,00239411
405,2;14,9752;0,0239929;11,6561;0,0221414;2,16472;0,00153399;2,15369;0,00172953;6,18938;0,00829998;4,00392;0,00502664;4,71691;0,0063629;1,36534;0,00311237;0,704191;0,00242763
405,3;14,9805;0,024435;11,6602;0,0225769;2,16517;0,00157935;2,15422;0,00179828;6,19115;0,00847931;4,00477;0,00513637;4,71812;0,00649248;1,3657;0,00317567;0,704583;0,00246226
405,4;14,9857;0,024865;11,6642;0,0230024;2,16563;0,00162809;2,15478;0,00186942;6,19291;0,00865723;4,00561;0,00524853;4,71931;0,00662107;1,36608;0,00322991;0,704985;0,00249765
